,Mobile,Rating,Price
0,"POCO C51 (Royal Blue, 64 GB)","34,322","₹6,499"
1,"POCO C51 (Power Black, 64 GB)","34,322","₹6,499"
2,"POCO C50 (Royal Blue, 32 GB)","46,690","₹5,499"
3,"POCO C55 (Cool Blue, 64 GB)","40,173","₹7,499"
4,"Infinix Smart 7 HD (Ink Black, 64 GB)","14,857","₹6,199"
5,"Infinix Smart 7 HD (Green Apple, 64 GB)","14,857","₹6,199"
6,"Infinix Smart 7 HD (Silk Blue, 64 GB)","14,857","₹6,199"
7,"Infinix Smart 7 HD (Jade White, 64 GB)","14,857","₹6,199"
8,"Infinix SMART 7 (Azure Blue, 64 GB)","52,024","₹7,299"
9,"POCO C50 (Country Green, 32 GB)","46,690","₹5,499"
10,"POCO C55 (Power Black, 64 GB)","40,173","₹7,499"
11,"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","34,322","₹5,999"
12,"Infinix SMART 7 (Emerald Green, 64 GB)","52,024","₹7,299"
13,"vivo T2x 5G (Aurora Gold, 128 GB)","20,873","₹15,999"
14,"vivo T2x 5G (Marine Blue, 128 GB)","20,873","₹15,999"
15,"vivo T2x 5G (Glimmer Black, 128 GB)","20,873","₹15,999"
16,"vivo T2x 5G (Marine Blue, 128 GB)","84,222","₹13,999"
17,"vivo T2x 5G (Aurora Gold, 128 GB)","84,222","₹13,999"
18,"vivo T2x 5G (Glimmer Black, 128 GB)","84,222","₹13,999"
19,"vivo T2x 5G (Glimmer Black, 128 GB)","47,446","₹12,999"
20,"vivo T2x 5G (Aurora Gold, 128 GB)","47,446","₹12,999"
21,"vivo T2x 5G (Marine Blue, 128 GB)","47,446","₹12,999"
22,"MOTOROLA g42 (Atlantic Green, 64 GB)","8,921","₹9,999"
23,"Infinix HOT 30i (Marigold, 128 GB)","53,286","₹8,999"
